"sector","year","value","cntry_key"
"cf",1993,307.699285001836,"ECU"
"cf",1994,1764.80128622463,"ECU"
"cf",1995,13353.3876424502,"ECU"
"cf",1996,11813.2383341124,"ECU"
"cf",1997,5727.02852341525,"ECU"
"cf",1998,18179.6203787171,"ECU"
"cf",1999,7126.71047982325,"ECU"
"cf",2000,11031.8346035204,"ECU"
"cf",2001,6609.97725049316,"ECU"
"cf",2002,12726.695068881,"ECU"
"cf",2003,11583.140623377,"ECU"
"cf",2004,12489.8486475419,"ECU"
"cf",2005,14241.2480802617,"ECU"
"cf",2006,15037.7876431334,"ECU"
"cf",2007,20107.7177081816,"ECU"
"cf",2008,18329.5326921222,"ECU"
"ph",1993,950.154535451168,"ECU"
"ph",1995,20720.4105272139,"ECU"
"ph",1996,12755.7341485961,"ECU"
"ph",1997,8624.89704509358,"ECU"
"ph",1998,9060.24837222196,"ECU"
"ph",1999,7922.65137023056,"ECU"
"ph",2000,8791.56898433328,"ECU"
"ph",2001,2827.82171328924,"ECU"
"ph",2002,9756.34169122482,"ECU"
"ph",2003,10516.3787050143,"ECU"
"ph",2004,11934.8592592688,"ECU"
"ph",2005,14795.1944465311,"ECU"
"ph",2006,14750.557971929,"ECU"
"ph",2007,24106.8600367503,"ECU"
"ph",2008,22049.7045055074,"ECU"
"sb",1995,5435.47940593839,"ECU"
"sb",1996,6168.78029152199,"ECU"
"sb",1997,13848.2443437278,"ECU"
"sb",1998,9573.48096653718,"ECU"
"sb",1999,6783.86978772517,"ECU"
"sb",2000,8782.85460247196,"ECU"
"sb",2001,5827.38184045863,"ECU"
"sb",2002,9807.75064361184,"ECU"
"sb",2003,15699.3051605784,"ECU"
"sb",2004,17284.538510698,"ECU"
"sb",2005,18640.9044075556,"ECU"
"sb",2006,15335.9800914468,"ECU"
"sb",2007,25412.1933003159,"ECU"
"sb",2008,22817.6921616253,"ECU"
"tour",1993,2297.5337362697,"ECU"
"tour",1995,24891.663336686,"ECU"
"tour",1996,13596.7239299148,"ECU"
"tour",1997,14330.8592117372,"ECU"
"tour",1998,7971.70542855547,"ECU"
"tour",1999,5755.17111946326,"ECU"
"tour",2000,12260.3629529759,"ECU"
"tour",2001,12245.6225022331,"ECU"
"tour",2002,23328.0018180378,"ECU"
"tour",2003,36077.4793587191,"ECU"
"tour",2004,43598.7594351809,"ECU"
"tour",2005,42091.2616008821,"ECU"
"tour",2006,41028.7732616109,"ECU"
"tour",2007,55518.9239878084,"ECU"
"tour",2008,47508.9571671155,"ECU"
"tran",1993,5741.35865648927,"ECU"
"tran",1995,12869.8449202752,"ECU"
"tran",1996,7719.09425740907,"ECU"
"tran",1997,18638.9669825888,"ECU"
"tran",1998,20849.2842671539,"ECU"
"tran",1999,21139.6360565794,"ECU"
"tran",2000,16937.6097241698,"ECU"
"tran",2001,14869.3090763403,"ECU"
"tran",2002,35458.5709415157,"ECU"
"tran",2003,44067.6679366674,"ECU"
"tran",2004,48492.7670361989,"ECU"
"tran",2005,51296.6939300593,"ECU"
"tran",2006,72418.4251527988,"ECU"
"tran",2007,110417.855066504,"ECU"
"tran",2008,94824.2392689414,"ECU"
"cf",1993,307.699285001836,"Galapagos Islands"
"cf",1994,1764.80128622463,"Galapagos Islands"
"cf",1995,13353.3876424502,"Galapagos Islands"
"cf",1996,11813.2383341124,"Galapagos Islands"
"cf",1997,5727.02852341525,"Galapagos Islands"
"cf",1998,18179.6203787171,"Galapagos Islands"
"cf",1999,7126.71047982325,"Galapagos Islands"
"cf",2000,11031.8346035204,"Galapagos Islands"
"cf",2001,6609.97725049316,"Galapagos Islands"
"cf",2002,12726.695068881,"Galapagos Islands"
"cf",2003,11583.140623377,"Galapagos Islands"
"cf",2004,12489.8486475419,"Galapagos Islands"
"cf",2005,14241.2480802617,"Galapagos Islands"
"cf",2006,15037.7876431334,"Galapagos Islands"
"cf",2007,20107.7177081816,"Galapagos Islands"
"cf",2008,18329.5326921222,"Galapagos Islands"
"ph",1993,950.154535451168,"Galapagos Islands"
"ph",1995,20720.4105272139,"Galapagos Islands"
"ph",1996,12755.7341485961,"Galapagos Islands"
"ph",1997,8624.89704509358,"Galapagos Islands"
"ph",1998,9060.24837222196,"Galapagos Islands"
"ph",1999,7922.65137023056,"Galapagos Islands"
"ph",2000,8791.56898433328,"Galapagos Islands"
"ph",2001,2827.82171328924,"Galapagos Islands"
"ph",2002,9756.34169122482,"Galapagos Islands"
"ph",2003,10516.3787050143,"Galapagos Islands"
"ph",2004,11934.8592592688,"Galapagos Islands"
"ph",2005,14795.1944465311,"Galapagos Islands"
"ph",2006,14750.557971929,"Galapagos Islands"
"ph",2007,24106.8600367503,"Galapagos Islands"
"ph",2008,22049.7045055074,"Galapagos Islands"
"sb",1995,5435.47940593839,"Galapagos Islands"
"sb",1996,6168.78029152199,"Galapagos Islands"
"sb",1997,13848.2443437278,"Galapagos Islands"
"sb",1998,9573.48096653718,"Galapagos Islands"
"sb",1999,6783.86978772517,"Galapagos Islands"
"sb",2000,8782.85460247196,"Galapagos Islands"
"sb",2001,5827.38184045863,"Galapagos Islands"
"sb",2002,9807.75064361184,"Galapagos Islands"
"sb",2003,15699.3051605784,"Galapagos Islands"
"sb",2004,17284.538510698,"Galapagos Islands"
"sb",2005,18640.9044075556,"Galapagos Islands"
"sb",2006,15335.9800914468,"Galapagos Islands"
"sb",2007,25412.1933003159,"Galapagos Islands"
"sb",2008,22817.6921616253,"Galapagos Islands"
"tour",1993,2297.5337362697,"Galapagos Islands"
"tour",1995,24891.663336686,"Galapagos Islands"
"tour",1996,13596.7239299148,"Galapagos Islands"
"tour",1997,14330.8592117372,"Galapagos Islands"
"tour",1998,7971.70542855547,"Galapagos Islands"
"tour",1999,5755.17111946326,"Galapagos Islands"
"tour",2000,12260.3629529759,"Galapagos Islands"
"tour",2001,12245.6225022331,"Galapagos Islands"
"tour",2002,23328.0018180378,"Galapagos Islands"
"tour",2003,36077.4793587191,"Galapagos Islands"
"tour",2004,43598.7594351809,"Galapagos Islands"
"tour",2005,42091.2616008821,"Galapagos Islands"
"tour",2006,41028.7732616109,"Galapagos Islands"
"tour",2007,55518.9239878084,"Galapagos Islands"
"tour",2008,47508.9571671155,"Galapagos Islands"
"tran",1993,5741.35865648927,"Galapagos Islands"
"tran",1995,12869.8449202752,"Galapagos Islands"
"tran",1996,7719.09425740907,"Galapagos Islands"
"tran",1997,18638.9669825888,"Galapagos Islands"
"tran",1998,20849.2842671539,"Galapagos Islands"
"tran",1999,21139.6360565794,"Galapagos Islands"
"tran",2000,16937.6097241698,"Galapagos Islands"
"tran",2001,14869.3090763403,"Galapagos Islands"
"tran",2002,35458.5709415157,"Galapagos Islands"
"tran",2003,44067.6679366674,"Galapagos Islands"
"tran",2004,48492.7670361989,"Galapagos Islands"
"tran",2005,51296.6939300593,"Galapagos Islands"
"tran",2006,72418.4251527988,"Galapagos Islands"
"tran",2007,110417.855066504,"Galapagos Islands"
"tran",2008,94824.2392689414,"Galapagos Islands"
